amfi_code,scheme_name,fund_house,category,sub_category,risk_grade,launch_date
100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,Kotak Mutual Fund,Liquid,Debt,Moderate,2019-10-06
100059,Aditya Birla Sun Life Gilt Plus-PF Plan (Annual Dividend),Axis Mutual Fund,Large Cap,Equity,High,2021-03-28
100060,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,ICICI Prudential Mutual Fund,Liquid,Equity,High,2023-01-07
100061,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,Axis Mutual Fund,Small Cap,Debt,Low,2018-08-28
100062,Aditya Birla Sun Life Gilt Plus-Regular Plan (Annual Dividend),Kotak Mutual Fund,Mid Cap,Debt,High,2022-01-04
100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,Kotak Mutual Fund,Mid Cap,Equity,Very High,2016-02-16
100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,Nippon India Mutual Fund,Debt,Equity,High,2015-04-30
100065,Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan,SBI Mutual Fund,Debt,Equity,Moderate,2022-07-30
100066,Aditya Birla Sun Life India Opportunities Fund - Growth - Regular Plan,Nippon India Mutual Fund,Small Cap,Equity,Very High,2015-03-11
100067,Aditya Birla Sun Life Tax Plan -Regular - IDCW,Kotak Mutual Fund,Small Cap,Equity,Very High,2015-11-05
100068,BARODA ELSS 96 - Plan A - IDCW,SBI Mutual Fund,Large Cap,Equity,High,2022-04-16
100069,BARODA PIONEER DIVERSIFIED FUND,Nippon India Mutual Fund,Debt,Debt,Low,2016-08-14
100077,DSP Bond Fund - IDCW,HDFC Mutual Fund,Large Cap,Equity,High,2019-07-09
100078,DSP Bond Fund - Growth,ICICI Prudential Mutual Fund,Flexi Cap,Equity,Very High,2018-12-11
100079,DSP Bond Fund - IDCW - Monthly,Nippon India Mutual Fund,Liquid,Equity,Low,2022-05-20
100080,DSP Flexi Cap Fund - Regular Plan - IDCW,SBI Mutual Fund,Debt,Equity,Moderate,2019-05-26
100081,DSP Aggressive Hybrid Fund- Regular Plan - Growth,Axis Mutual Fund,Mid Cap,Equity,Very High,2019-11-12
100082,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,ICICI Prudential Mutual Fund,Flexi Cap,Equity,High,2017-12-22
100084,DSP Gilt Fund - Regular Plan - Growth,Nippon India Mutual Fund,Small Cap,Debt,Moderate,2020-12-04
100085,DSP Gilt Fund - Regular Plan - IDCW,Kotak Mutual Fund,Mid Cap,Equity,High,2022-07-16
100086,DSP Gilt Fund - Regular Plan - IDCW - Monthly,SBI Mutual Fund,Mid Cap,Equity,Moderate,2020-08-05
100087,DSP Savings Fund - Regular Plan - Growth,HDFC Mutual Fund,Debt,Equity,Low,2021-08-25
100088,DSP Savings Fund - Regular Plan - IDCW,Axis Mutual Fund,Large Cap,Equity,High,2019-12-31
